age,timespent,addtocart,sentiment
56,34,1,0
46,41,1,0
32,46,0,0
25,52,0,0
38,42,2,1
56,52,1,0
36,54,1,0
40,32,0,0
28,38,3,1
28,59,1,0
41,46,2,1
53,46,2,1
57,59,2,1
41,49,2,1
20,45,2,1
39,54,1,0
19,51,2,1
41,42,1,0
47,56,1,0
55,48,1,0
19,46,1,0
38,33,0,0
50,41,0,0
29,58,0,0
39,38,1,0
42,48,1,0
44,41,2,1
59,38,2,1
45,36,1,0
33,57,1,0
32,43,4,1
20,49,0,0
54,48,0,0
24,55,2,1
38,44,2,1
26,45,3,1
56,50,1,0
35,34,0,0
21,32,1,0
42,41,0,0
31,54,0,0
26,49,1,0
43,56,0,0
19,50,2,1
37,33,2,1
45,50,3,1
24,52,1,0
25,45,0,0
52,54,1,0
31,36,1,0
34,42,1,0
53,50,1,0
57,39,1,0
21,55,1,0
19,36,1,0
23,43,1,0
59,55,2,1
21,34,1,0
46,32,0,0
35,52,1,0
43,58,2,1
51,40,0,0
27,40,0,0
53,47,2,1
31,44,2,1
48,41,2,1
32,38,0,0
25,39,0,0
31,55,0,0
40,41,2,1
57,46,0,0
38,58,0,0
33,35,0,0
35,36,1,0
41,43,0,0
43,42,0,0
42,37,1,0
58,39,1,0
46,38,2,1
32,47,1,0
18,56,2,1
42,55,2,1
24,31,1,0
26,34,1,0
41,58,0,0
18,34,0,0
25,35,1,0
41,48,0,0
28,37,0,0
34,45,2,1
25,42,2,1
52,30,0,0
52,51,0,0
50,49,0,0
22,46,1,0
59,36,1,0
56,54,1,0
58,42,1,0
45,33,1,0
24,33,2,1
26,35,1,0
25,57,1,0
29,48,0,0
51,58,0,0
50,41,1,0
40,51,4,1
41,36,1,0
54,56,1,0
52,39,0,0
57,55,1,0
39,48,0,0
44,36,2,1
52,59,3,1
18,32,3,1
52,42,1,0
54,42,0,0
31,47,3,1
20,57,3,1
18,59,1,0
22,55,1,0
43,49,0,0
31,57,1,0
56,37,1,0
44,58,1,0
26,38,2,1
32,36,2,1
32,30,0,0
43,32,1,0
59,42,2,1
30,57,0,0
49,59,1,0
56,54,0,0
49,57,3,1
21,46,2,1
47,54,0,0
54,53,1,0
40,30,1,0
56,35,0,0
32,50,0,0
46,35,0,0
53,55,1,0
30,41,1,0
49,42,2,1
24,42,1,0
39,58,0,0
45,44,1,0
19,50,0,0
59,45,1,0
23,51,1,0
45,50,4,1
45,40,1,0
37,57,1,0
47,34,1,0
28,33,3,1
45,32,1,0
42,48,0,0
56,49,0,0
50,54,1,0
18,47,1,0
44,44,0,0
30,38,0,0
58,46,0,0
20,43,1,0
56,44,0,0
23,30,0,0
25,50,4,1
44,51,0,0
26,51,3,1
54,32,4,1
50,45,1,0
59,52,1,0
41,54,2,1
32,40,1,0
49,41,0,0
49,39,1,0
41,45,0,0
58,37,1,0
29,35,1,0
56,41,1,0
19,53,2,1
20,57,1,0
54,50,2,1
34,37,1,0
19,55,2,1
19,57,2,1
45,33,1,0
40,55,2,1
54,37,0,0
49,55,1,0
50,57,0,0
18,47,0,0
36,57,0,0
19,57,0,0
43,34,0,0
49,38,1,0
23,33,0,0
49,56,1,0
21,51,0,0
28,46,2,1
34,38,1,0
55,30,2,1
41,50,0,0
22,49,1,0
51,42,0,0
23,57,1,0
39,45,2,1
28,58,3,1
33,42,3,1
50,43,1,0
26,32,0,0
23,58,1,0
33,35,0,0
46,47,1,0
20,48,4,1
37,34,1,0
53,44,1,0
36,54,1,0
43,31,3,1
20,39,1,0
36,53,2,1
37,59,1,0
49,47,1,0
24,56,1,0
58,42,0,0
50,34,2,1
57,52,0,0
56,53,0,0
35,30,1,0
57,51,2,1
18,30,2,1
28,47,3,1
45,44,1,0
42,46,2,1
40,40,1,0
48,50,0,0
47,55,0,0
59,54,0,0
52,51,0,0
24,56,1,0
33,56,1,0
43,46,3,1
19,42,0,0
18,30,1,0
29,31,1,0
22,38,2,1
54,32,0,0
49,30,0,0
26,50,0,0
58,45,1,0
52,52,1,0
36,35,1,0
33,57,0,0
20,46,0,0
37,34,1,0
41,34,1,0
50,35,2,1
41,32,2,1
28,50,2,1
25,52,0,0
53,34,0,0
55,50,3,1
57,34,2,1
37,39,0,0
52,39,1,0
42,48,1,0
52,46,0,0
42,50,0,0
46,43,2,1
35,38,3,1
35,43,2,1
19,30,0,0
52,48,2,1
33,42,5,1
58,42,0,0
53,33,0,0
50,59,2,1
21,30,2,1
50,46,1,0
31,37,0,0
38,31,0,0
37,57,0,0
25,37,0,0
24,36,1,0
20,55,0,0
34,55,1,0
50,31,2,1
29,51,1,0
39,51,1,0
39,32,0,0
47,56,1,0
55,47,0,0
55,41,1,0
25,30,1,0
44,51,1,0
44,41,1,0
51,34,2,1
38,59,4,1
47,59,1,0
50,56,0,0
45,54,1,0
50,46,1,0
22,45,0,0
36,44,2,1
21,52,2,1
52,44,1,0
34,34,0,0
45,50,1,0
47,43,2,1
46,31,2,1
23,40,2,1
52,48,1,0
58,36,4,1
54,35,1,0
41,57,1,0
46,31,2,1
48,35,0,0
52,47,1,0
50,31,2,1
38,47,1,0
49,59,1,0
40,44,2,1
50,56,0,0
20,48,0,0
35,31,1,0
42,49,1,0
59,54,0,0
48,35,1,0
20,30,1,0
57,53,1,0
41,44,2,1
49,57,2,1
39,59,1,0
40,52,1,0
19,39,0,0
44,48,1,0
59,46,2,1
19,34,1,0
43,58,0,0
34,33,1,0
57,39,1,0
50,53,1,0
26,46,2,1
56,39,1,0
46,46,0,0
59,57,1,0
43,49,1,0
52,53,2,1
42,34,1,0
41,31,1,0
30,35,0,0
24,50,1,0
53,31,1,0
37,42,0,0
18,59,2,1
25,40,1,0
33,40,0,0
31,45,1,0
29,40,1,0
40,48,0,0
32,44,1,0
45,54,0,0
51,52,2,1
19,52,2,1
49,45,1,0
40,40,1,0
39,51,0,0
42,45,0,0
39,37,1,0
39,33,0,0
59,37,0,0
23,33,0,0
32,53,2,1
54,54,1,0
50,32,0,0
25,32,0,0
22,56,2,1
56,58,1,0
21,47,1,0
23,58,0,0
49,55,0,0
47,48,2,1
52,48,0,0
57,50,1,0
33,34,0,0
30,47,1,0
59,57,2,1
47,39,0,0
36,58,0,0
34,51,3,1
36,50,4,1
45,35,2,1
43,30,0,0
54,34,1,0
43,38,3,1
40,41,0,0
26,55,0,0
29,43,3,1
18,31,2,1
18,46,1,0
51,43,0,0
49,55,1,0
42,42,2,1
57,56,1,0
18,38,1,0
33,55,1,0
56,54,1,0
22,44,2,1
39,54,4,1
46,51,0,0
20,44,0,0
29,53,1,0
43,59,1,0
33,40,2,1
54,45,2,1
39,58,1,0
46,46,2,1
31,55,0,0
45,33,1,0
22,30,0,0
47,37,1,0
22,46,2,1
29,32,1,0
33,58,1,0
43,49,3,1
43,44,2,1
38,44,0,0
56,53,1,0
53,51,2,1
50,43,1,0
47,55,1,0
54,57,0,0
40,52,1,0
27,43,2,1
22,53,0,0
53,31,0,0
51,42,3,1
48,55,0,0
27,43,3,1
36,56,1,0
49,53,1,0
18,48,0,0
22,36,2,1
21,32,0,0
33,44,0,0
41,52,0,0
33,43,0,0
19,40,1,0
45,44,1,0
49,57,0,0
44,42,0,0
37,47,2,1
41,55,1,0
29,35,0,0
52,32,0,0
50,48,2,1
50,44,2,1
54,54,2,1
29,52,0,0
20,34,0,0
18,57,1,0
50,39,2,1
57,36,1,0
27,54,2,1
46,46,1,0
30,36,0,0
29,51,1,0
48,55,2,1
19,59,1,0
52,41,3,1
40,54,1,0
34,46,1,0
43,42,0,0
25,49,2,1
46,54,0,0
43,33,1,0
27,39,2,1
43,32,1,0
51,38,0,0
58,42,3,1
24,47,0,0
21,44,0,0
28,33,0,0
46,44,0,0
53,51,0,0
42,31,1,0
38,44,0,0
53,37,2,1
27,37,2,1
54,46,2,1
26,41,1,0
41,48,1,0
52,39,2,1
52,38,1,0
53,34,0,0
35,35,1,0
56,49,0,0
49,55,0,0
41,31,0,0
40,56,3,1
49,53,1,0
